dataset,components,probe,variance_retained,reference_probability_shift,compressed_probability_shift,reference_flip_rate,compressed_flip_rate,response_ratio,response_distortion,diagnostic_information_preservation_score
pathmnist,32,center_occlusion,0.7814341187477112,0.4838323526431485,0.4845125268865357,0.5481481481481482,0.6148148148148148,1.00140578492863,0.0006801742433871771,0.9992975909195767
pathmnist,32,texture_weakening,0.7814341187477112,0.30388853562853335,0.021358180973513,0.3851851851851852,0.07037037037037037,0.07028294182440417,0.28253035465502035,0.13133528627112467
pathmnist,32,boundary_weakening,0.7814341187477112,0.19391495479650997,0.014218697962849617,0.22962962962962963,0.037037037037037035,0.07332439751501593,0.17969625683366036,0.13663049767484292
pathmnist,32,contrast_attenuation,0.7814341187477112,0.2015256063458435,0.08320470209387668,0.1962962962962963,0.17037037037037037,0.41287407329441866,0.11832090425196681,0.584445713753464
pathmnist,32,gaussian_like_noise,0.7814341187477112,0.3017948482426596,0.05462257792328304,0.40370370370370373,0.0962962962962963,0.18099240736355915,0.24717227031937658,0.30650903901262316
pathmnist,32,off_center_occlusion,0.7814341187477112,0.37810615010761794,0.5291825150904289,0.42962962962962964,0.6666666666666666,1.3995606814229398,0.15107636498281096,0.8334858914117567
pathmnist,64,center_occlusion,0.8475614190101624,0.4838323526431485,0.46263348287794837,0.5481481481481482,0.5333333333333333,0.9561854861270712,0.021198869765200135,0.9776020763289893
pathmnist,64,texture_weakening,0.8475614190101624,0.30388853562853335,0.05108893422918528,0.3851851851851852,0.07037037037037037,0.16811734092681224,0.2527996013993481,0.28784326966129026
pathmnist,64,boundary_weakening,0.8475614190101624,0.19391495479650997,0.03265162309576946,0.22962962962962963,0.040740740740740744,0.16838114134220297,0.1612633317007405,0.2882298612476223
pathmnist,64,contrast_attenuation,0.8475614190101624,0.2015256063458435,0.1310111793860705,0.1962962962962963,0.16666666666666666,0.6500969046100755,0.070514426959773,0.7879500017296713
pathmnist,64,gaussian_like_noise,0.8475614190101624,0.3017948482426596,0.07750971284220493,0.40370370370370373,0.10740740740740741,0.2568291364986837,0.2242851354004547,0.40869382417678857
pathmnist,64,off_center_occlusion,0.8475614190101624,0.37810615010761794,0.49702180176369076,0.42962962962962964,0.5851851851851851,1.3145033173281986,0.11891565165607282,0.8641162700346217
